nome,estado,regiao,partido,posicao,gastos.total,presencas.total
Jorge Wicks Côrte Real,PE,Nordeste,PTB,Governo,52281.53,186
Jorge Tadeu Mudalen,SP,Sudeste,DEM,Oposicao,79956.92,161
Jorginho Dos Santos Mello,SC,Sul,PSDB,Oposicao,88318.06,167
José Airton Félix Cirilo Da Silva,CE,Nordeste,PT,Governo,149187.13,138
José Augusto Maia,PE,Nordeste,PTB,Governo,79468.33,173
José Carlos Leão De Araújo,BA,Nordeste,PSD,Independente,145781.69,181
José Severiano Chaves,PE,Nordeste,PTB,Governo,100848.44,163
José De Filippi Júnior,SP,Sudeste,PT,Governo,65095.18,175
André Luis Dantas Ferreira,SE,Nordeste,PSC,Governo,102463.62,163
José Nobre Guimarães,CE,Nordeste,PT,Governo,120575.43,198
José Humberto Soares,MG,Sudeste,PHS,Governo,59380.2,193
José Linhares Ponte,CE,Nordeste,PP,Governo,122542.4,164
José Mentor Guilherme De Mello Netto,SP,Sudeste,PT,Governo,98246.96,175
José Nunes Soares,BA,Nordeste,PSD,Independente,78646.68,191
José Otávio Germano,RS,Sul,PP,Governo,132723.71,149
José Benito Priante Júnior,PA,Norte,PMDB,Governo,50022.11,141
José Alves Rocha,BA,Nordeste,PR,Independente,140976.05,161
José Luiz Stédile,RS,Sul,PSB,Governo,86145.8,200
Joseph Wallace Faria Bandeira,BA,Nordeste,PT,Governo,52453.92,177
André Luiz Vargas Ilário,PR,Sul,PT,Governo,75613.23,162
Josias Gomes Da Silva,BA,Nordeste,PT,Governo,121760.7,156
Josué Bengtson,PA,Norte,PTB,Governo,67574.6,183
Jovair De Oliveira Arantes,GO,Centro-oeste,PTB,Governo,147129.29,130
Júlio José De Campos,MT,Centro-oeste,DEM,Oposicao,125539.84,180
Júlio César De Carvalho Lima,PI,Nordeste,PSD,Independente,143507.07,187
Júlio César Delgado,MG,Sudeste,PSB,Governo,119645.29,179
Raimundo Coimbra Júnior,TO,Norte,PMDB,Governo,140122.58,183
Junji Abe,SP,Sudeste,PSD,Independente,94763.97,185
Jutahy Magalhães Júnior,BA,Nordeste,PSDB,Oposicao,74065.3,196
Iolanda Keiko Miashiro Ota,SP,Sudeste,PSB,Governo,98390.97,180
André Zacharow,PR,Sul,PMDB,Governo,113966.37,164
Lael Vieira Varella,MG,Sudeste,DEM,Oposicao,129260.6,150
Laercio José De Oliveira,SE,Nordeste,PR,Independente,70468.12,179
Laurez Da Rocha Moreira,TO,Norte,PSB,Governo,149271.88,186
Lauriete Rodrigues De Almeida,ES,Sudeste,PSC,Governo,40461.19,191
Lázaro Botelho Martins,TO,Norte,PP,Governo,163467.48,186
Leandro Vilela Velloso,GO,Centro-oeste,PMDB,Governo,127998.97,181
Welington Coimbra,ES,Sudeste,PMDB,Governo,115742.07,160
José Leonardo Costa Monteiro,MG,Sudeste,PT,Governo,98942.1,171
Andreia Almeida Zito Dos Santos,RJ,Sudeste,PSDB,Oposicao,86677.82,169
Leonardo Lemos Barros Quintão,MG,Sudeste,PMDB,Governo,142525.27,168
Leopoldo Costa Meyer,PR,Sul,PSB,Governo,44550.63,195
Liliam Sá De Paula,RJ,Sudeste,PSD,Independente,36982.69,175
Lincoln Diniz Portela,MG,Sudeste,PR,Independente,158377.05,202
Joaquim De Lira Maia,PA,Norte,DEM,Oposicao,163262.21,127
Lourival Mendes Da Fonseca Filho,MA,Nordeste,PT do B,Governo,44351.71,202
Luci Teresinha Koswoski Choinacki,SC,Sul,PT,Governo,111957.84,188
Luciana Barbosa De Oliveira Santos,PE,Nordeste,PC do B,Governo,77297.98,183
Luciano De Souza Castro,RR,Norte,PR,Independente,109671.24,155
Lúcio Dutra Vale,PA,Norte,PR,Independente,91853.27,202
Joseli Ângelo Agnolin,TO,Norte,PDT,Governo,124920.74,197
Lúcio Quadros Vieira Lima,BA,Nordeste,PMDB,Governo,55935.5,156
Luis Carlos Heinze,RS,Sul,PP,Governo,172882.05,174
Luis Henrique De Oliveira Resende,MG,Sudeste,PT do B,Governo,77240.1,171
Luiz Alberto Silva Dos Santos,BA,Nordeste,PT,Governo,161838.87,177
João Luiz Correia Argôlo Dos Santos,BA,Nordeste,PP,Governo,91839.26,157
Luiz Carlos Gomes Dos Santos Junior,AP,Norte,PSDB,Oposicao,107386.17,137
Luiz Carlos Setim,PR,Sul,DEM,Oposicao,121821.47,178
Luiz Albuquerque Couto,PB,Nordeste,PT,Governo,129483.19,198
Luiz Fernando Ramos Faria,MG,Sudeste,PP,Governo,144309.86,150
Luiz Fernando Arantes Machado,SP,Sudeste,PSDB,Oposicao,128950.75,202
Angelo Carlos Vanhoni,PR,Sul,PT,Governo,70839.62,135
